name	filepath	source	rig	type	channels
SoundPeats Air4 Pro (ANC on)	in-ear/SoundPeats Air4 Pro (ANC on).csv	DHRME	711	in-ear	1
SoundPeats Engine	in-ear/SoundPeats Engine.csv	DHRME	711	in-ear	1
SoundPeats Free 2 Classic	in-ear/SoundPeats Free 2 Classic.csv	DHRME	711	in-ear	1
SoundPeats Mini Pro	in-ear/SoundPeats Mini Pro.csv	DHRME	711	in-ear	1
Status Audio Between 3ANC (ANC Off)	in-ear/Status Audio Between 3ANC (ANC Off).csv	DHRME	711	in-ear	1
Status Audio Between 3ANC (ANC on)	in-ear/Status Audio Between 3ANC (ANC on).csv	DHRME	711	in-ear	1
Technics EAH-AZ100	in-ear/Technics EAH-AZ100.csv	DHRME	711	in-ear	1
Technics EAH-AZ80	in-ear/Technics EAH-AZ80.csv	DHRME	711	in-ear	1
Tin HiFi Tin Buds 3	in-ear/Tin HiFi Tin Buds 3.csv	DHRME	711	in-ear	1
Truthear x Crinacle Zero RED	in-ear/Truthear x Crinacle Zero RED (DHRME).csv	DHRME	711	in-ear	1
Sony WH-CH710N	over-ear/Sony WH-CH710N.csv	DHRME	711	over-ear	1
7Hz Legato	in-ear/7Hz Legato.csv	Fahryst	711	in-ear	1
7Hz Salnotes Zero	in-ear/7Hz Salnotes Zero (Fahryst).csv	Fahryst	711	in-ear	1
7Hz Timeless AE	in-ear/7Hz Timeless AE.csv	Fahryst	711	in-ear	1
7Hz Timeless	in-ear/7Hz Timeless.csv	Fahryst	711	in-ear	1
AFUL Explorer	in-ear/AFUL Explorer.csv	Fahryst	711	in-ear	1
AKG N5005 (bass boost)	in-ear/AKG N5005 (bass boost).csv	Fahryst	711	in-ear	1
AKG N5005 (high)	in-ear/AKG N5005 (high).csv	Fahryst	711	in-ear	1
AKG N5005 (mid high)	in-ear/AKG N5005 (mid high).csv	Fahryst	711	in-ear	1
AKG N5005 (reference)	in-ear/AKG N5005 (reference).csv	Fahryst	711	in-ear	1
Aroma Audio Fei Wan	in-ear/Aroma Audio Fei Wan.csv	Fahryst	711	in-ear	1
Aroma Audio Jewel	in-ear/Aroma Audio Jewel.csv	Fahryst	711	in-ear	1
ARTTI R1	in-ear/ARTTI R1.csv	Fahryst	711	in-ear	1
ARTTI T10	in-ear/ARTTI T10.csv	Fahryst	711	in-ear	1
Astell & Kern x Empire Ears Novus	in-ear/Astell & Kern x Empire Ears Novus.csv	Fahryst	711	in-ear	1
Audiosense AQ4	in-ear/Audiosense AQ4.csv	Fahryst	711	in-ear	1
Audiosense DT600	in-ear/Audiosense DT600.csv	Fahryst	711	in-ear	1
Bang & Olufsen Beoplay H3	in-ear/Bang & Olufsen Beoplay H3.csv	Fahryst	711	in-ear	1
BGVP Scale	in-ear/BGVP Scale.csv	Fahryst	711	in-ear	1
Binary Acoustics x Gizaudio Chopin	in-ear/Binary Acoustics x Gizaudio Chopin.csv	Fahryst	711	in-ear	1
BLON BL-Max	in-ear/BLON BL-Max.csv	Fahryst	711	in-ear	1
BLON x HBB Z300	in-ear/BLON x HBB Z300 (Fahryst).csv	Fahryst	711	in-ear	1
BQEYZ Autumn (bass filter)	in-ear/BQEYZ Autumn (bass filter).csv	Fahryst	711	in-ear	1
BQEYZ Autumn (normal filter)	in-ear/BQEYZ Autumn (normal filter).csv	Fahryst	711	in-ear	1
BQEYZ Autumn (treble filter)	in-ear/BQEYZ Autumn (treble filter).csv	Fahryst	711	in-ear	1
BQEYZ Cloud	in-ear/BQEYZ Cloud.csv	Fahryst	711	in-ear	1
BQEYZ Wind	in-ear/BQEYZ Wind.csv	Fahryst	711	in-ear	1
